 5.051680000 854.019861340  1.417172524
 5.051950000 854.035249305  1.417177531
 5.052220000 854.068217773  1.417187198
 5.052490000 854.096615339  1.417195115
 5.052760000 854.057794555  1.417183745
 5.053030000 854.065716966  1.417190513
 5.053300000 854.078773301  1.417193385
 5.053570000 854.060066874  1.417191921
 5.053840000 854.070258521  1.417198464
 5.054110000 854.048784570  1.417191942
 5.054380000 854.096432106  1.417210029
 5.054650000 854.087083393  1.417206575
 5.054920000 854.061566794  1.417203747
 5.055190000 854.064477724  1.417208998
 5.055460000 854.077357113  1.417212075
 5.055730000 854.074332247  1.417215751
 5.056000000 854.110475278  1.417230641
 5.056270000 854.111172707  1.417230634
 5.056540000 854.105417064  1.417229161
 5.056810000 854.088534978  1.417229994
 5.057080000 854.143421181  1.417246257
 5.057350000 854.153467324  1.417249704
 5.057620000 854.142547792  1.417251966
 5.057890000 854.137195982  1.417250353
 5.058160000 854.183551127  1.417262934
 5.058430000 854.169358880  1.417263202
 5.058700000 854.137848775  1.417253286
 5.058970000 854.191779219  1.417272791
 5.059230000 854.165678633  1.417270002
 5.059500000 854.207916650  1.417280963
 5.059770000 854.159137395  1.417271820
 5.060040000 854.183614756  1.417278020
 5.060310000 854.186816077  1.417283098
 5.060580000 854.194014301  1.417290018
 5.060850000 854.247875939  1.417306551
 5.061120000 854.231893878  1.417309623
 5.061390000 854.254845057  1.417318598
 5.061660000 854.285489786  1.417323281
 5.061930000 854.239461777  1.417310436
 5.062200000 854.324504288  1.417334248
 5.062470000 854.252902958  1.417318559
 5.062740000 854.316321328  1.417335908
 5.063010000 854.300500554  1.417336378
 5.063280000 854.316669428  1.417341249
 5.063550000 854.309962710  1.417339864
 5.063820000 854.349668847  1.417356575
 5.064090000 854.377182049  1.417364650
 5.064360000 854.359741747  1.417359877
 5.064630000 854.365725265  1.417366912
 5.064900000 854.401843017  1.417378486
 5.065170000 854.445121259  1.417391573
 5.065440000 854.417015070  1.417388981
 5.065710000 854.388861160  1.417380928
 5.065980000 854.417041828  1.417388835
 5.066250000 854.491137061  1.417409556
 5.066520000 854.425378060  1.417395516
 5.066790000 854.427910928  1.417395265
 5.067060000 854.443067321  1.417403362
 5.067330000 854.462022707  1.417407901
 5.067600000 854.441293908  1.417406832
 5.067870000 854.444034673  1.417412035
 5.068140000 854.457431338  1.417415003
 5.068410000 854.470254993  1.417423563
 5.068670000 854.480452312  1.417432449
 5.068940000 854.495963708  1.417437542
 5.069210000 854.488305916  1.417436245
 5.069480000 854.508434947  1.417443049
 5.069750000 854.528667434  1.417449831
 5.070020000 854.549614120  1.417456408
 5.070290000 854.538524423  1.417458622
 5.070560000 854.544600421  1.417460083
 5.070830000 854.551514049  1.417461424
 5.071100000 854.537905788  1.417461654
 5.071370000 854.545873945  1.417462886
 5.071640000 854.553485990  1.417469719
 5.071910000 854.505270746  1.417460430
 5.072180000 854.502498538  1.417458527
 5.072450000 854.517307819  1.417466782
 5.072720000 854.513585524  1.417470465
 5.072990000 854.556747117  1.417483213
 5.073260000 854.565655251  1.417486900
 5.073530000 854.566400402  1.417492353
 5.073800000 854.583757224  1.417497255
 5.074070000 854.568540411  1.417497794
 5.074340000 854.557563171  1.417494541
 5.074610000 854.552315803  1.417498404
 5.074880000 854.555842163  1.417500316
 5.075150000 854.591472602  1.417512160
 5.075420000 854.620046006  1.417522468
 5.075690000 854.599528802  1.417518202
 5.075960000 854.614162616  1.417523199
 5.076230000 854.617451114  1.417519496
 5.076500000 854.589268228  1.417516780
 5.076770000 854.572231759  1.417511868
 5.077040000 854.583979921  1.417514931
 5.077310000 854.590169362  1.417516424
 5.077580000 854.608531761  1.417526445
 5.077850000 854.614824657  1.417527917
 5.078110000 854.560052885  1.417517184
 5.078380000 854.629313585  1.417536183
 5.078650000 854.581155062  1.417526910
 5.078920000 854.566661450  1.417521799
 5.079190000 854.575958744  1.417528446
 5.079460000 854.555642778  1.417521793
 5.079730000 854.557799558  1.417527034
 5.080000000 854.591316253  1.417542251
 5.080270000 854.561760702  1.417534465
 5.080540000 854.548958011  1.417531511
 5.080810000 854.547811002  1.417537194
 5.081080000 854.550546465  1.417539188
 5.081350000 854.559170991  1.417542795
 5.081620000 854.556761554  1.417543132
 5.081890000 854.560635026  1.417544888
 5.082160000 854.559777420  1.417544900
 5.082430000 854.559814165  1.417544809
 5.082700000 854.532648075  1.417536577
 5.082970000 854.545450766  1.417539531
 5.083240000 854.520131089  1.417536606
 5.083510000 854.517235449  1.417534617
 5.083780000 854.493073757  1.417531561
 5.084050000 854.462929535  1.417526969
 5.084320000 854.472226829  1.417533615
 5.084590000 854.484428764  1.417536807
 5.084860000 854.445809095  1.417531144
