 0.000000005 404878.545905876 125.711252718
 0.000000022 69889.020623284 19.559611352
 0.000000079 32425.104596299  8.002443875
 0.000000274 21070.998380383  5.105690461
 0.000000933 14366.212180989  3.754584502
 0.000003150 9978.965833982  2.862866203
 0.000006683 7987.020354960  2.425917899
 0.000010279 6869.005386358  2.154297067
 0.000013939 6129.165180232  1.969771404
 0.000017663 5587.866216174  1.832415277
 0.000021452 5219.346003329  1.741297136
 0.000025304 4937.485515352  1.671401141
 0.000029219 4715.913334877  1.616867792
 0.000033200 4536.304677735  1.573010288
 0.000037245 4401.331018102  1.541408825
 0.000041357 4290.418042082  1.515929666
 0.000045535 4195.134161184  1.494243919
 0.000049779 4113.382254329  1.475869547
 0.000054091 4038.812796439  1.459043071
 0.000058470 3969.799145229  1.443337303
 0.000062919 3910.626017160  1.430207811
 0.000067438 3852.783770482  1.417051180
 0.000072029 3802.819648351  1.406020781
 0.000076694 3752.783896422  1.394621835
 0.000081437 3706.133792695  1.384018658
 0.000086258 3662.191019842  1.374027761
 0.000091162 3622.059565977  1.365040535
 0.000096151 3584.564908257  1.356636437
 0.000101230 3553.410697906  1.350118954
 0.000106402 3518.882081077  1.342369632
 0.000111671 3480.334023854  1.333184458
 0.000117041 3448.451970844  1.326015712
 0.000122519 3419.770510707  1.319755828
 0.000128108 3392.794369738  1.314031151
 0.000133816 3359.948306989  1.306211960
 0.000139649 3332.779941795  1.300165815
 0.000145616 3312.123373658  1.296063455
 0.000151672 3281.771133157  1.288909190
 0.000157779 3258.060836726  1.283720209
 0.000163936 3233.444722195  1.278145615
 0.000170146 3209.672886415  1.272769287
 0.000176411 3193.175116435  1.269650271
 0.000182732 3163.644258618  1.262183521
 0.000189114 3140.900749005  1.256701614
 0.000195559 3119.990567404  1.251674585
 0.000202071 3098.517738319  1.246446504
 0.000208652 3089.235607407  1.245135677
 0.000215307 3054.308239027  1.236080560
 0.000222038 3032.526948486  1.231069399
 0.000228850 3010.187634233  1.225837744
 0.000235745 2988.821893986  1.220810326
 0.000242729 2967.976456086  1.215875597
 0.000249806 2947.007306771  1.210841733
 0.000256981 2926.120539903  1.205788791
 0.000264261 2905.639462208  1.200843609
 0.000271650 2885.163421729  1.195872336
 0.000279153 2864.767285911  1.190926970
 0.000286723 2844.810546850  1.186083102
 0.000294343 2825.486707093  1.181374980
 0.000302015 2806.316696241  1.176711126
 0.000309738 2787.463842524  1.172092483
 0.000317515 2769.073228365  1.167580888
 0.000325348 2751.241784030  1.163182784
 0.000333241 2733.909303409  1.158888684
 0.000341196 2716.920246466  1.154741930
 0.000349216 2700.431867719  1.150715544
 0.000357305 2684.384887101  1.146792422
 0.000365466 2668.986506353  1.143034832
 0.000373702 2654.095105000  1.139412777
 0.000382017 2641.915946116  1.136615278
 0.000390414 2626.018488133  1.132639615
 0.000398898 2614.159932260  1.129865817
 0.000407472 2598.941562691  1.126028513
 0.000416141 2586.491294124  1.123067273
 0.000424904 2574.569929540  1.120256037
 0.000433728 2562.581952313  1.117339025
 0.000442607 2553.057531500  1.115220532
 0.000451540 2540.927577926  1.112271092
 0.000460527 2534.176190842  1.111027515
 0.000469569 2520.685040645  1.107591320
 0.000478666 2510.374205334  1.105148365
 0.000487820 2502.318431460  1.103429891
 0.000497033 2490.970539960  1.100607223
 0.000506307 2485.779901650  1.099718456
 0.000515646 2474.489154644  1.096881193
 0.000525052 2464.318328946  1.094393869
 0.000534527 2459.150525130  1.093478495
 0.000544076 2447.161008282  1.090372540
 0.000553700 2438.895616447  1.088450608
 0.000563405 2430.787257494  1.086567800
 0.000573191 2422.889576197  1.084720167
 0.000583040 2415.378506497  1.083004361
 0.000592946 2407.460021306  1.081146061
 0.000602910 2401.335244110  1.079842694
 0.000612931 2392.616934747  1.077711509
 0.000623010 2384.881166385  1.075888047
 0.000633145 2380.465707867  1.075135227
 0.000643337 2370.010313307  1.072413440
 0.000653586 2361.988380801  1.070473733
 0.000663893 2355.656927480  1.069054525
 0.000674260 2347.693607829  1.067161040
 0.000684690 2338.715156362  1.064864903
 0.000695185 2333.587081959  1.063816169
 0.000705748 2324.588764279  1.061511754
 0.000716375 2315.956823568  1.059329358
 0.000727056 2310.946607423  1.058326876
 0.000737792 2303.678213915  1.056548632
 0.000748585 2294.327483234  1.054117640
 0.000759437 2287.075054396  1.052345928
 0.000770347 2279.744004955  1.050577423
 0.000781317 2273.092559931  1.048952808
 0.000792347 2268.705185870  1.048082034
 0.000803439 2259.877463371  1.045789060
 0.000814590 2253.450097076  1.044248963
 0.000825801 2247.632312019  1.042873324
 0.000837068 2241.258859814  1.041358745
 0.000848383 2236.373124543  1.040294820
 0.000859746 2229.476740383  1.038596475
 0.000871159 2225.620076985  1.037861473
 0.000882624 2218.204478743  1.035984045
 0.000894142 2212.100385229  1.034514945
 0.000905715 2207.704065829  1.033590872
 0.000917346 2200.884088345  1.031898113
 0.000929035 2197.408779322  1.031254902
 0.000940785 2190.079987386  1.029386810
 0.000952596 2184.423605914  1.028053547
 0.000964469 2179.751089753  1.027037016
 0.000976397 2173.390507394  1.025453850
 0.000988368 2169.692160704  1.024754649
 0.001000380 2162.610700509  1.022947766
 0.001012450 2157.290727778  1.021682264
 0.001024560 2152.051607069  1.020482638
 0.001036720 2146.458179665  1.019147359
 0.001048930 2141.820705933  1.018126629
 0.001061190 2135.589050471  1.016581527
 0.001073500 2131.591795010  1.015759214
 0.001085880 2124.940717304  1.014085158
 0.001098300 2119.335262144  1.012742900
 0.001110790 2115.116609198  1.011841045
 0.001123340 2109.075830904  1.010356652
