 0.000000005 4472783.918684904 1367.612970381
 0.000000022 472774.989739140 145.115751795
 0.000000079 92564.316480215 28.566203942
 0.000000274 26276.900302582  8.221171561
 0.000000933 11319.757579124  3.626890211
 0.000003165 7251.040552154  2.378486815
 0.000010722 5514.992771586  1.873004574
 0.000036312 4278.570227811  1.555420276
 0.000122140 3199.257978933  1.297069013
 0.000256458 2606.168819720  1.145095848
 0.000394726 2293.815023345  1.062874587
 0.000537411 2119.229993526  1.017559696
 0.000684969 2014.316125274  0.991571814
 0.000837864 1944.429995473  0.974998945
 0.000996589 1902.862717386  0.966187838
 0.001161810 1870.005178879  0.959662442
 0.001334310 1844.673589705  0.955299382
 0.001514980 1824.746243465  0.952513355
 0.001704970 1809.284206699  0.950799062
 0.001901890 1802.771423861  0.951519530
 0.002101480 1801.089306982  0.953313650
 0.002303900 1798.354795947  0.954646956
 0.002509460 1792.719941861  0.955095051
 0.002718540 1789.611609972  0.956308522
 0.002931690 1784.992895680  0.957048238
 0.003149490 1782.966592500  0.958738958
 0.003372570 1782.295054134  0.960998400
 0.003601600 1782.338068521  0.963617539
 0.003837370 1780.829060248  0.965777931
 0.004077980 1778.805005821  0.967776179
 0.004320260 1773.606942835  0.968765179
 0.004564370 1766.113647339  0.969051463
 0.004810490 1757.991471307  0.969106586
 0.005058860 1748.994507067  0.968857009
 0.005309800 1739.989892019  0.968589791
 0.005563700 1731.444820467  0.968476488
 0.005821020 1723.012873635  0.968410264
 0.006082280 1714.203493209  0.968234916
 0.006348040 1704.942207857  0.967903989
 0.006618870 1695.350122955  0.967367930
 0.006895470 1684.891368950  0.966529724
 0.007177080 1675.942173085  0.966147040
 0.007459960 1669.371031632  0.966436584
 0.007744190 1663.028213566  0.966767199
 0.008029960 1657.265533478  0.967223628
 0.008317470 1651.132287248  0.967525703
 0.008606900 1645.801030013  0.968041061
 0.008898470 1641.743037275  0.968930254
 0.009192410 1638.064639447  0.969899816
 0.009489020 1634.864779806  0.971032934
 0.009788610 1630.729122801  0.971883543
 0.010091600 1626.905348205  0.972780044
 0.010398300 1622.815531079  0.973546166
 0.010709300 1618.217911694  0.974210166
 0.011025000 1614.046887591  0.974981044
 0.011346000 1609.262778780  0.975582589
 0.011672200 1606.085007394  0.976682969
 0.011999900 1604.363608286  0.978179170
 0.012328200 1604.306848793  0.980205015
 0.012657500 1602.894929383  0.981783927
 0.012987900 1601.315893246  0.983302992
 0.013319500 1599.761922716  0.984823503
 0.013652600 1597.790262916  0.986205894
 0.013987200 1596.329658163  0.987725281
 0.014323500 1595.307407579  0.989365118
 0.014661800 1594.247379251  0.990984090
 0.015002200 1593.729644590  0.992746262
 0.015345000 1592.532041332  0.994296004
 0.015690400 1590.825891633  0.995694674
 0.016038800 1588.791152710  0.997034502
 0.016390200 1586.822037232  0.998365327
 0.016745200 1585.148901898  0.999761676
 0.017103900 1582.947309978  1.001009515
 0.017466800 1580.799744744  1.002253526
 0.017834100 1578.440992860  1.003449312
 0.018206300 1576.426255244  1.004742836
 0.018582100 1574.985087993  1.006232903
 0.018958200 1575.160651719  1.008195033
 0.019334700 1575.325936906  1.010152406
 0.019711800 1574.695418732  1.011859962
 0.020089500 1574.177293662  1.013614536
 0.020468000 1573.615506266  1.015332962
 0.020847300 1573.724730087  1.017232554
 0.021227700 1572.624282437  1.018728560
 0.021609200 1571.541221985  1.020264724
 0.021991800 1570.621747520  1.021900944
 0.022375800 1569.827660405  1.023561733
 0.022761300 1569.042551201  1.025205764
 0.023148300 1568.390223897  1.026890496
 0.023537200 1567.688061952  1.028535585
 0.023927900 1566.704180306  1.030088197
 0.024320700 1565.746915442  1.031653674
 0.024715800 1564.957018279  1.033247731
 0.025113300 1564.023753139  1.034763077
 0.025513400 1563.243028926  1.036329384
 0.025916300 1561.805321374  1.037702950
 0.026322300 1560.312136262  1.039074894
 0.026731500 1559.269548384  1.040547795
 0.027144100 1558.561380083  1.042082159
 0.027560500 1557.542994312  1.043497733
 0.027980900 1556.699266178  1.045001374
 0.028405400 1555.602588679  1.046511352
 0.028831200 1555.215439025  1.048252347
 0.029257100 1555.447488664  1.050179459
 0.029683100 1555.386042763  1.052006618
 0.030109400 1555.342819770  1.053831358
 0.030536000 1555.581544863  1.055745072
 0.030963100 1555.584369925  1.057581400
 0.031390500 1555.233773166  1.059308076
 0.031818600 1554.935069616  1.061031917
 0.032247200 1554.640718431  1.062756327
 0.032676500 1554.676213891  1.064567187
 0.033106600 1555.109904410  1.066511762
 0.033537500 1555.216927935  1.068285743
 0.033969200 1554.703807490  1.069878762
 0.034402000 1554.157414306  1.071533355
 0.034835800 1553.676912339  1.073243585
 0.035270700 1553.166504347  1.074941807
 0.035706900 1553.159662452  1.076755694
 0.036144500 1552.861187732  1.078461514
 0.036583400 1552.804198052  1.080218010
 0.037023900 1552.751755779  1.081983549
 0.037466000 1552.629150350  1.083717872
 0.037909900 1552.498737240  1.085454740
 0.038355700 1552.616035895  1.087260423
 0.038803500 1552.598192919  1.088995260
 0.039253400 1552.405470495  1.090692661
 0.039705600 1552.106450463  1.092381102
 0.040160100 1552.260933699  1.094196634
 0.040617200 1551.992449517  1.095829257
 0.041077000 1552.427248227  1.097692624
 0.041539500 1552.006720411  1.099244305
 0.042005100 1551.583743799  1.100871776
 0.042473800 1551.296808848  1.102568005
 0.042945800 1551.452146709  1.104395568
 0.043419900 1551.937235738  1.106344249
 0.043894000 1552.493671323  1.108300701
 0.044368200 1552.694327612  1.110135943
 0.044842300 1552.898057503  1.111966302
